Pk_Id,Fk_LocalizationLevel1Id,Fk_LocalizationLevel2Id,Fk_LocalizationLevel3Id,Fk_LocalizationLevel4Id,Fk_LocalizationLevel5Id,Name,X,Y,Z,SortingId,Fk_StatusId
7501001,1,75,7500007,7500101,7500501,El Rosal,NULL,NULL,NULL,0,4
7501002,1,75,7500007,7500101,7500501,Colorados,NULL,NULL,NULL,0,4
7501003,1,75,7500007,7500101,7500501,Café Madrid,NULL,NULL,NULL,0,4
7501004,1,75,7500007,7500101,7500501,Las Hamacas,NULL,NULL,NULL,0,4
7501005,1,75,7500007,7500101,7500501,Altos del Kennedy,NULL,NULL,NULL,0,4
7501006,1,75,7500007,7500101,7500501,Kennedy,NULL,NULL,NULL,0,4
7501007,1,75,7500007,7500101,7500501,Balcones del Kennedy,NULL,NULL,NULL,0,4
7501008,1,75,7500007,7500101,7500501,Las Olas,NULL,NULL,NULL,0,4
7501009,1,75,7500007,7500101,7500501,Villa Rosa sectores I  II y III,NULL,NULL,NULL,0,4
7501010,1,75,7500007,7500101,7500501,Omagá sectores I y II,NULL,NULL,NULL,0,4
7501011,1,75,7500007,7500101,7500501,Minuto de Dios,NULL,NULL,NULL,0,4
7501012,1,75,7500007,7500101,7500501,Tejar Norte sectores I y II,NULL,NULL,NULL,0,4
7501013,1,75,7500007,7500101,7500501,Miramar,NULL,NULL,NULL,0,4
7501014,1,75,7500007,7500101,7500501,Miradores del Kennedy,NULL,NULL,NULL,0,4
7501015,1,75,7500007,7500101,7500501,El Pablón Villa Lina,NULL,NULL,NULL,0,4
7501016,1,75,7500007,7500101,7500501,La Torre,NULL,NULL,NULL,0,4
7501017,1,75,7500007,7500101,7500501,Villa Patricia,NULL,NULL,NULL,0,4
7501018,1,75,7500007,7500101,7500501,Sector Don Juan,NULL,NULL,NULL,0,4
7501019,1,75,7500007,7500101,7500501,Pablón Alto y Bajo,NULL,NULL,NULL,0,4
7501020,1,75,7500007,7500101,7500501,Barrio Nuevo,NULL,NULL,NULL,0,4
7501021,1,75,7500007,7500101,7500501,Divino Niño,NULL,NULL,NULL,0,4
7501022,1,75,7500007,7500101,7500501,13 de Junio,NULL,NULL,NULL,0,4
7501023,1,75,7500007,7500101,7500501,Altos del Progreso,NULL,NULL,NULL,0,4
7501024,1,75,7500007,7500101,7500501,María Paz,NULL,NULL,NULL,0,4
7501025,1,75,7500007,7500102,7500502,Los Angeles,NULL,NULL,NULL,0,4
7501026,1,75,7500007,7500102,7500502,Villa Helena I y II,NULL,NULL,NULL,0,4
7501027,1,75,7500007,7500102,7500502,José María Córdoba,NULL,NULL,NULL,0,4
7501028,1,75,7500007,7500102,7500502,Esperanza I  II y III,NULL,NULL,NULL,0,4
7501029,1,75,7500007,7500102,7500502,Lizcano I y II,NULL,NULL,NULL,0,4
7501030,1,75,7500007,7500102,7500502,Regadero Norte,NULL,NULL,NULL,0,4
7501031,1,75,7500007,7500102,7500502,San Cristóbal,NULL,NULL,NULL,0,4
7501032,1,75,7500007,7500102,7500502,La Juventud,NULL,NULL,NULL,0,4
7501033,1,75,7500007,7500102,7500502,Transición I  II III IV y V,NULL,NULL,NULL,0,4
7501034,1,75,7500007,7500102,7500502,La Independencia,NULL,NULL,NULL,0,4
7501035,1,75,7500007,7500102,7500502,Villa Mercedes,NULL,NULL,NULL,0,4
7501036,1,75,7500007,7500102,7500502,Bosque Norte,NULL,NULL,NULL,0,4
7501037,1,75,7500007,7500102,7500502,Mesetas del Santuario,NULL,NULL,NULL,0,4
7501038,1,75,7500007,7500102,7500502,Villa María,NULL,NULL,NULL,0,4
7501039,1,75,7500007,7500102,7500502,Mirador,NULL,NULL,NULL,0,4
7501040,1,75,7500007,7500102,7500502,Primaveral,NULL,NULL,NULL,0,4
7501041,1,75,7500007,7500102,7500502,Olitas,NULL,NULL,NULL,0,4
7501042,1,75,7500007,7500102,7500502,Olas II,NULL,NULL,NULL,0,4
7501043,1,75,7500007,7500103,7500503,Norte Bajo,NULL,NULL,NULL,0,4
7501044,1,75,7500007,7500103,7500503,San Rafael,1.000000000000000,1.000000000000000,1,1,4
7501045,1,75,7500007,7500103,7500503,El Cinal,2.000000000000000,2.000000000000000,2,2,4
7501046,1,75,7500007,7500103,7500503,Chapinero,3.000000000000000,3.000000000000000,3,3,4
7501047,1,75,7500007,7500103,7500503,Comuneros,4.000000000000000,4.000000000000000,4,4,4
7501048,1,75,7500007,7500103,7500503,La Universidad,5.000000000000000,5.000000000000000,5,5,4
7501049,1,75,7500007,7500103,7500503,Mutualidad,6.000000000000000,6.000000000000000,6,6,4
7501050,1,75,7500007,7500103,7500503,Modelo,7.000000000000000,7.000000000000000,7,7,4
7501051,1,75,7500007,7500103,7500503,San Francisco,8.000000000000000,8.000000000000000,8,8,4
7501052,1,75,7500007,7500103,7500503,Alarcón,9.000000000000000,9.000000000000000,9,9,4
7501053,1,75,7500007,7500103,7500503,Puerto Rico,10.000000000000000,10.000000000000000,10,10,4
7501054,1,75,7500007,7500103,7500503,UIS,11.000000000000000,11.000000000000000,11,11,4
7501055,1,75,7500007,7500104,7500504,Gaitán,NULL,NULL,NULL,0,4
7501056,1,75,7500007,7500104,7500504,Granadas,NULL,NULL,NULL,0,4
7501057,1,75,7500007,7500104,7500504,Nariño,NULL,NULL,NULL,0,4
7501058,1,75,7500007,7500104,7500504,Girardot,NULL,NULL,NULL,0,4
7501059,1,75,7500007,7500104,7500504,La Feria,NULL,NULL,NULL,0,4
7501060,1,75,7500007,7500104,7500504,Nápoles,NULL,NULL,NULL,0,4
7501061,1,75,7500007,7500104,7500504,Pío Xll,NULL,NULL,NULL,0,4
7501062,1,75,7500007,7500104,7500504,23 de Junio,NULL,NULL,NULL,0,4
7501063,1,75,7500007,7500104,7500504,Santander,NULL,NULL,NULL,0,4
7501064,1,75,7500007,7500104,7500504,Don Bosco,NULL,NULL,NULL,0,4
7501065,1,75,7500007,7500104,7500504,12 de Octubre,NULL,NULL,NULL,0,4
7501066,1,75,7500007,7500104,7500504,La Gloria,NULL,NULL,NULL,0,4
7501067,1,75,7500007,7500104,7500504,Camilo Torres,NULL,NULL,NULL,0,4
7501068,1,75,7500007,7500104,7500504,Zarabanda,NULL,NULL,NULL,0,4
7501069,1,75,7500007,7500104,7500504,Granjas de Palonegro Norte,NULL,NULL,NULL,0,4
7501070,1,75,7500007,7500104,7500504,Granjas de Palonegro Sur,NULL,NULL,NULL,0,4
7501071,1,75,7500007,7500104,7500504,Navas,NULL,NULL,NULL,0,4
7501072,1,75,7500007,7500104,7500504,Zona Industrial - Río de Oro,NULL,NULL,NULL,0,4
7501073,1,75,7500007,7500105,7500505,Quinta Estrella,NULL,NULL,NULL,0,4
7501074,1,75,7500007,7500105,7500505,Alfonso López,NULL,NULL,NULL,0,4
7501075,1,75,7500007,7500105,7500505,La Joya,NULL,NULL,NULL,0,4
7501076,1,75,7500007,7500105,7500505,Chorreras de Don Juan,NULL,NULL,NULL,0,4
7501077,1,75,7500007,7500105,7500505,Campohermoso,NULL,NULL,NULL,0,4
7501078,1,75,7500007,7500105,7500505,La Estrella,NULL,NULL,NULL,0,4
7501079,1,75,7500007,7500105,7500505,Primero de Mayo,NULL,NULL,NULL,0,4
7501080,1,75,7500007,7500105,7500505,Carlos Pizarro,NULL,NULL,NULL,0,4
7501081,1,75,7500007,7500105,7500505,Rincón de la Paz,NULL,NULL,NULL,0,4
7501082,1,75,7500007,7500105,7500505,5 de Enero,NULL,NULL,NULL,0,4
7501083,1,75,7500007,7500105,7500505,José Antonio Galán,NULL,NULL,NULL,0,4
7501084,1,75,7500007,7500105,7500505,Pantano I II III,NULL,NULL,NULL,0,4
7501085,1,75,7500007,7500105,7500505,La Palma,NULL,NULL,NULL,0,4
7501086,1,75,7500007,7500105,7500505,La Esmeralda,NULL,NULL,NULL,0,4
7501087,1,75,7500007,7500105,7500505,Villa Romero,NULL,NULL,NULL,0,4
7501088,1,75,7500007,7500106,7500506,La Concordia,NULL,NULL,NULL,0,4
7501089,1,75,7500007,7500106,7500506,San Miguel,NULL,NULL,NULL,0,4
7501090,1,75,7500007,7500106,7500506,Candiles,NULL,NULL,NULL,0,4
7501091,1,75,7500007,7500106,7500506,Aeropuerto Gómez Niño,NULL,NULL,NULL,0,4
7501092,1,75,7500007,7500106,7500506,Ricaurte,NULL,NULL,NULL,0,4
7501093,1,75,7500007,7500106,7500506,La Ceiba,NULL,NULL,NULL,0,4
7501094,1,75,7500007,7500106,7500506,La Salle,NULL,NULL,NULL,0,4
7501095,1,75,7500007,7500106,7500506,La Victoria,NULL,NULL,NULL,0,4
7501096,1,75,7500007,7500107,7500507,Ciudadela Real de Minas,NULL,NULL,NULL,0,4
7501097,1,75,7500007,7500107,7500507,Macaregua,NULL,NULL,NULL,0,4
7501098,1,75,7500007,7500107,7500507,Ciudad Bolívar,NULL,NULL,NULL,0,4
7501099,1,75,7500007,7500107,7500507,Los Almendros,NULL,NULL,NULL,0,4
7501100,1,75,7500007,7500107,7500507,Plazuela Real,NULL,NULL,NULL,0,4
7501101,1,75,7500007,7500107,7500507,Los Naranjos,NULL,NULL,NULL,0,4
7501102,1,75,7500007,7500107,7500507,Plaza Mayor,NULL,NULL,NULL,0,4
7501103,1,75,7500007,7500107,7500507,Plazuela Real,NULL,NULL,NULL,0,4
7501104,1,75,7500007,7500108,7500508,San Gerardo,NULL,NULL,NULL,0,4
7501105,1,75,7500007,7500108,7500508,Antiguo Colombia,NULL,NULL,NULL,0,4
7501106,1,75,7500007,7500108,7500508,Los Canelos,NULL,NULL,NULL,0,4
7501107,1,75,7500007,7500108,7500508,Bucaramanga,NULL,NULL,NULL,0,4
7501108,1,75,7500007,7500108,7500508,Cordoncillo I y II,NULL,NULL,NULL,0,4
7501109,1,75,7500007,7500108,7500508,Pablo VI,NULL,NULL,NULL,0,4
7501110,1,75,7500007,7500108,7500508,20 de Julio,NULL,NULL,NULL,0,4
7501111,1,75,7500007,7500108,7500508,Africa,NULL,NULL,NULL,0,4
7501112,1,75,7500007,7500108,7500508,Juan XXIII,NULL,NULL,NULL,0,4
7501113,1,75,7500007,7500108,7500508,Los Laureles,NULL,NULL,NULL,0,4
7501114,1,75,7500007,7500108,7500508,El Fonce,NULL,NULL,NULL,0,4
7501115,1,75,7500007,7500108,7500508,Manzana 10 del barrio Bucaramanga,NULL,NULL,NULL,0,4
7501116,1,75,7500007,7500108,7500508,La Hoyada,NULL,NULL,NULL,0,4
7501117,1,75,7500007,7500109,7500509,Quebrada la Iglesia,NULL,NULL,NULL,0,4
7501118,1,75,7500007,7500109,7500509,Antonia Santos Sur,NULL,NULL,NULL,0,4
7501119,1,75,7500007,7500109,7500509,San Pedro Claver,NULL,NULL,NULL,0,4
7501120,1,75,7500007,7500109,7500509,San Martín,NULL,NULL,NULL,0,4
7501121,1,75,7500007,7500109,7500509,Nueva Granada,NULL,NULL,NULL,0,4
7501122,1,75,7500007,7500109,7500509,La Pedregosa,NULL,NULL,NULL,0,4
7501123,1,75,7500007,7500109,7500509,La Libertad,NULL,NULL,NULL,0,4
7501124,1,75,7500007,7500109,7500509,Diamante I,NULL,NULL,NULL,0,4
7501125,1,75,7500007,7500109,7500509,Villa Inés,NULL,NULL,NULL,0,4
7501126,1,75,7500007,7500109,7500509,Asturias,NULL,NULL,NULL,0,4
7501127,1,75,7500007,7500109,7500509,Las Casitas,NULL,NULL,NULL,0,4
7501128,1,75,7500007,7500109,7500509,Los Guayacanes,NULL,NULL,NULL,0,4
7501129,1,75,7500007,7500109,7500509,Torres de Alejandría,NULL,NULL,NULL,0,4
7501130,1,75,7500007,7500109,7500509,Urbanización el Sol I y II,NULL,NULL,NULL,0,4
7501131,1,75,7500007,7500110,7500510,Diamante II,NULL,NULL,NULL,0,4
7501132,1,75,7500007,7500110,7500510,San Luis,NULL,NULL,NULL,0,4
7501133,1,75,7500007,7500110,7500510,Provenza,NULL,NULL,NULL,0,4
7501134,1,75,7500007,7500110,7500510,El Cristal,NULL,NULL,NULL,0,4
7501135,1,75,7500007,7500110,7500510,Fontana,NULL,NULL,NULL,0,4
7501136,1,75,7500007,7500110,7500510,Granjas de Provenza.,NULL,NULL,NULL,0,4
7501137,1,75,7500007,7500110,7500510,Urbanización Neptuno.,NULL,NULL,NULL,0,4
7501138,1,75,7500007,7500111,7500511,Ciudad Venecia,NULL,NULL,NULL,0,4
7501139,1,75,7500007,7500111,7500511,Villa Alicia,NULL,NULL,NULL,0,4
7501140,1,75,7500007,7500111,7500511,El Rocío,NULL,NULL,NULL,0,4
7501141,1,75,7500007,7500111,7500511,Toledo Plata,NULL,NULL,NULL,0,4
7501142,1,75,7500007,7500111,7500511,Dangond,NULL,NULL,NULL,0,4
7501143,1,75,7500007,7500111,7500511,Manuela Beltrán I y II,NULL,NULL,NULL,0,4
7501144,1,75,7500007,7500111,7500511,Igzabelar,NULL,NULL,NULL,0,4
7501145,1,75,7500007,7500111,7500511,Santa María,NULL,NULL,NULL,0,4
7501146,1,75,7500007,7500111,7500511,Los Robles,NULL,NULL,NULL,0,4
7501147,1,75,7500007,7500111,7500511,Granjas de Julio Rincón,NULL,NULL,NULL,0,4
7501148,1,75,7500007,7500111,7500511,Jardines de Coaviconsa,NULL,NULL,NULL,0,4
7501149,1,75,7500007,7500111,7500511,El Candado,NULL,NULL,NULL,0,4
7501150,1,75,7500007,7500111,7500511,Malpaso,NULL,NULL,NULL,0,4
7501151,1,75,7500007,7500111,7500511,El Porvenir,NULL,NULL,NULL,0,4
7501152,1,75,7500007,7500111,7500511,Las Delicias,NULL,NULL,NULL,0,4
7501153,1,75,7500007,7500111,7500511,Urbanización Condado de Gibraltar,NULL,NULL,NULL,0,4
7501154,1,75,7500007,7500112,7500512,Cabecera del Llano,NULL,NULL,NULL,0,4
7501155,1,75,7500007,7500112,7500512,Sotomayor,NULL,NULL,NULL,0,4
7501156,1,75,7500007,7500112,7500512,Antiguo Campestre,NULL,NULL,NULL,0,4
7501157,1,75,7500007,7500112,7500512,Bolarquí,NULL,NULL,NULL,0,4
7501158,1,75,7500007,7500112,7500512,Mercedes,NULL,NULL,NULL,0,4
7501159,1,75,7500007,7500112,7500512,Puerta del Sol,NULL,NULL,NULL,0,4
7501160,1,75,7500007,7500112,7500512,Conucos,NULL,NULL,NULL,0,4
7501161,1,75,7500007,7500112,7500512,El Jardín,NULL,NULL,NULL,0,4
7501162,1,75,7500007,7500112,7500512,Pan de Azúcar,NULL,NULL,NULL,0,4
7501163,1,75,7500007,7500112,7500512,Los Cedros,NULL,NULL,NULL,0,4
7501164,1,75,7500007,7500112,7500512,Terrazas,NULL,NULL,NULL,0,4
7501165,1,75,7500007,7500112,7500512,La Floresta,NULL,NULL,NULL,0,4
7501166,1,75,7500007,7500113,7500513,Los Pinos,NULL,NULL,NULL,0,4
7501167,1,75,7500007,7500113,7500513,San Alonso,NULL,NULL,NULL,0,4
7501168,1,75,7500007,7500113,7500513,Galán,NULL,NULL,NULL,0,4
7501169,1,75,7500007,7500113,7500513,La Aurora,NULL,NULL,NULL,0,4
7501170,1,75,7500007,7500113,7500513,Las Américas,NULL,NULL,NULL,0,4
7501171,1,75,7500007,7500113,7500513,El Prado,NULL,NULL,NULL,0,4
7501172,1,75,7500007,7500113,7500513,Mejoras Públicas,NULL,NULL,NULL,0,4
7501173,1,75,7500007,7500113,7500513,Antonia Santos,NULL,NULL,NULL,0,4
7501174,1,75,7500007,7500113,7500513,Bolívar,NULL,NULL,NULL,0,4
7501175,1,75,7500007,7500113,7500513,Alvarez,NULL,NULL,NULL,0,4
7501176,1,75,7500007,7500113,7500513,Estadio,NULL,NULL,NULL,0,4
7501177,1,75,7500007,7500113,7500513,Batallón,NULL,NULL,NULL,0,4
7501178,1,75,7500007,7500114,7500514,Vegas de Morrorico,NULL,NULL,NULL,0,4
7501179,1,75,7500007,7500114,7500514,El Diviso,NULL,NULL,NULL,0,4
7501180,1,75,7500007,7500114,7500514,Morrorico,NULL,NULL,NULL,0,4
7501181,1,75,7500007,7500114,7500514,Albania,NULL,NULL,NULL,0,4
7501182,1,75,7500007,7500114,7500514,Miraflores,NULL,NULL,NULL,0,4
7501183,1,75,7500007,7500114,7500514,Buenos Aires,NULL,NULL,NULL,0,4
7501184,1,75,7500007,7500114,7500514,Limoncito,NULL,NULL,NULL,0,4
7501185,1,75,7500007,7500114,7500514,Los Sauces,NULL,NULL,NULL,0,4
7501186,1,75,7500007,7500115,7500515,Centro,NULL,NULL,NULL,0,4
7501187,1,75,7500007,7500115,7500515,García Rovira,NULL,NULL,NULL,0,4
7501188,1,75,7500007,7500116,7500516,Lagos del Cacique,NULL,NULL,NULL,0,4
7501189,1,75,7500007,7500116,7500516,El Tejar,NULL,NULL,NULL,0,4
7501190,1,75,7500007,7500116,7500516,San Expedito,NULL,NULL,NULL,0,4
7501191,1,75,7500007,7500116,7500516,Santa Barbara,NULL,NULL,NULL,0,4
7501192,1,75,7500007,7500116,7500516,Quinta del Cacique,NULL,NULL,NULL,0,4
7501193,1,75,7500007,7500116,7500516,Palmeras del Cacique,NULL,NULL,NULL,0,4
7501194,1,75,7500007,7500116,7500516,Altos del Cacique,NULL,NULL,NULL,0,4
7501195,1,75,7500007,7500116,7500516,Altos del Lago,NULL,NULL,NULL,0,4
7501196,1,75,7500007,7500116,7500516,UDES,NULL,NULL,NULL,0,4
7501197,1,75,7500007,7500117,7500517,Mutis,NULL,NULL,NULL,0,4
7501198,1,75,7500007,7500117,7500517,Balconcitos,NULL,NULL,NULL,0,4
7501199,1,75,7500007,7500117,7500517,Héroes,NULL,NULL,NULL,0,4
7501200,1,75,7500007,7500117,7500517,Estoraques I y II,NULL,NULL,NULL,0,4
7501201,1,75,7500007,7500117,7500517,Prados del Mutis,NULL,NULL,NULL,0,4
7501202,1,75,7500007,7500117,7500517,Monterredondo,NULL,NULL,NULL,0,4
