CÓDIGO_GEO;NOMBRE;TRADUCCIÓN_GEO;;
AG;AGRUPACION;AG;;
AP;APARTAMENTO;AP;;
BF;BIFAMILIAR;BF;;
BL;BLOQUE;BL;;
BR;BARRIO;BR;;
CD;CIUDADELA;CD;;
CN;CONDOMINIO;CN;;
CR;CONJUNTO RESIDENCIAL;CR;;
CO;CONJUNTO;CO;;
CS;CASA;CS;;
CH;CHALET;CH;;
ET;ETAPA;ET;;
IN;INTERIOR;IN;;
KD;KARDEX;KDX;;
LT;LOTE;LT;;
MT;MULTIFAMILIAR;MT;;
MZ;MANZANA;MZ;;
PT;PEATONAL;PT;;
SC;SECTOR;SC;;
SM;SUPER MANZANA;SM;;
TO;TORRE;TO;;
UB;URBANIZACION;UB;;
UR;UNIDAD RESIDENCIAL;UR;;
VD;VIVIENDA;VD;;
ZN;ZONA;ZN;;
AC;AVENIDA CALLE;AC;;
AK;AVENIDA CARRERA;AK;;
AV;AVENIDA;AV;;
CL;CALLE;CL;;
CQ;CIRCULAR;CQ;;
CT;CARRETERA;CT;;
DG;DIAGONAL;DG;;
KR;CARRERA;KR;;
PJ;PASAJE;PJ;;
PS;PASEO;PS;;
PT;PEATONAL;PT;;
TV;TRANSVERSAL;TV;;
AA;APARTADO AEREO;AA;;
AD;ADMINISTRACION;AD;;
AE;AEROPUERTO;AER;;
AF;ADELANTE;ADL;;
AI;AGENCIA;AGE;;
AN;ALMACEN;ALM;;
AO;AL LADO;ALD;;
AT;ATRAS;ATR;;
BG;BODEGA;BG;;
BV;BOULEVARD;BLV;;
CE;CELULA;CE;;
CG;CORREGIMIENTO;COR;;
CI;CASERIO;CAR;;
CM;CAMINO;CM;;
CU;CONSULTORIO;CU;;
CV;CIRCUNVALAR;CV;;
DP;DEPOSITO;DP;;
DS;DEPOSITOSOTANO;DS;;
DT;DEPARTAMENTO;DT;;
EC;ESCALERA;ESC;;
ED;EDIFICIO;ED;;
EM;EMBALSE;EM;;
EN;ENTRADA;EN;;
EX;EXTERIOR;EX;;
FC;FINCA;FCA;;
GJ;GARAJE;GJ;;
GS;GARAJESOTANO;GS;;
GT;GLORIETA;GTA;;
HC;HACIENDA;HSD;;
HG;HANGAR;HGR;;
ID;INSPECCION DEPARTAMENTAL;IPD;;
IM;INSPECCION MUNICIPAL;IPM;;
IP;INSPECCION DE POLICIA;IPP;;
IS;INSPECCION;IS;;
KM;KILOMETRO;KM;;
LC;LOCAL;LC;;
LM;LOCALMEZZANINE;LM;;
MC;MUNICIPIO;MC;;
MD;MODULO;MD;;
MJ;MOJON;MOJ;;
ML;MUELLE;MLL;;
MN;MEZZANINE;MN;;
OF;OFICINA;OF;;
PA;PARAJE;PRJ;;
PC;PARCELA;PAR;;
PD;PREDIO;PDI;;
PE;PUESTO;PE;;
PH;PENTHOUSE;PH;;
PI;PISO;PI;;
PL;PLANTA;PL;;
PN;PARQUE NATURAL;PN;;
PO;POSTE;POS;;
PQ;PARQUEADERO;PQ;;
PR;PARAMO;PR;;
PO;PORTERIA;PO;;
PU;PUENTE;PTN;;
PW;PARK WAY;PWA;;
RE;REPRESA;RE;;
RI;RESGUARDO INDIGENA;RI;;
RP;ROUND POINT;RPO;;
RT;RESTO;RT;;
SA;SALON;SAL;;
SL;SOLAR;SLR;;
SS;SEMISOTANO;SS;;
ST;SOTANO;ST;;
SU;SUITE;SU;;
SZ;SALON COMUNAL;SCM;;
TE;TERMINAL;TER;;
TZ;TERRAZA;TZ;;
VE;VEREDA;VE;;
VT;VARIANTE;VTE;;
ZF;ZONA FRANCA;ZFR;;