ciudad,num_barrios
LA ESTRELLA,37
IBAGUE,583
CAJICA,15
LEBRIJA,11
CARTAGENA,253
PLANETA RICA,29
CHIQUINQUIRA,12
GARZON,65
TURBACO,39
SANTUARIO,21
CARMEN DE VIBORAL,14
MALAGA,26
LA PLATA,30
INIRIDA,17
GUAMAL,22
GACHANCIPA,19
CHICORAL,11
ARAUCA,47
CHAPARRAL,37
VILLANUEVA,20
SARAVENA,41
PUERTO CARREÃ‘O,30
MANI,16
ARAUQUITA,18
VILLARRICA,5
GIGANTE,28
PUERTO BERRIO,41
LA MESA,25
CIENAGA,46
MONTELIBANO,42
LORICA,48
SAN JOSE DEL GUAVIARE,30
SANTO TOMAS,23
GRANADA,40
UBATE,10
TABIO,2
SIBATE,15
SABANAGRANDE,14
PUERTO TEJADA,36
PAIPA,19
CUMARAL,43
PUERTO LOPEZ,32
CIRCASIA,51
CALI,474
HONDA,82
GALAPA,32
GIRARDOTA,22
GUAMO,24
VILLETA,52
TOCAIMA,32
BARBOSA,14
TURBO,26
MONTENEGRO,52
YARUMAL,27
TULUA,146
PALMIRA,155
CAUCASIA,60
BELLO,141
BUCARAMANGA,363
BUENAVENTURA,101
POPAYAN,283
CARTAGO,216
YUMBO,37
MANIZALES,137
ACACIAS,90
SINCELEJO,205
BARRANCABERMEJA,182
RIONEGRO,29
BARANOA,28
PIEDECUESTA,177
ITAGUI,107
ENVIGADO,125
GIRON,122
SOLEDAD,194
FLORENCIA,90
CHINCHINA,70
DOSQUEBRADAS,374
NEIVA,286
SANTA MARTA,385
FLORIDABLANCA,370
MEDELLIN,364
SANTANDER DE QUILICHAO,43
CALARCA,98
PITALITO,85
IPIALES,70
ARMENIA,467
PEREIRA,515
APARTADO,36
VILLA MARIA,78
DUITAMA,69
PUERTO COLOMBIA,35
SOGAMOSO,73
TUNJA,153
BARRANQUILLA,290
ESPINAL,36
SAN GIL,51
LA CALERA,12
GIRARDOT,218
FACATATIVA,116
MADRID,129
FUSAGASUGA,305
VALLEDUPAR,176
SOACHA,485
VILLA DEL ROSARIO,88
RIOHACHA,105
ZIPAQUIRA,120
CHIA,300
BOGOTA D.C.,1743
CAREPA,31
SOPO,22
TOCANCIPA,40
PAMPLONA,45
SABANALARGA,39
PUERTO BOYACA,32
CERETE,68
LOS PATIOS,79
MOSQUERA,123
COPACABANA,38
YOPAL,107
MALAMBO,48
SABANETA,46
CHIGORODO,32
COROZAL,53
BUGA,42
SANTA ROSA DE CABAL,75
MARINILLA,36
MAICAO,55
PACHO,16
FUNZA,48
MONTERIA,232
PASTO,393
FLANDES,29
SILVANIA,19
JAMUNDI,174
CUCUTA,419
VILLAVICENCIO,401
