    ALARCON;(-73.121137, 7.126466)
*   (complejo de aptos) ALTOS DE CABECERA;7.129179,-73.110065
    ALVAREZ;7.127747,-73.109143
    ANTIGUO CAMPESTRE;7.110141,-73.111155 
    ANTONIA SANTOS;7.12295,-73.11947
    BOLARQUI;(-73.114022, 7.111366)
    BOLIVAR;(-73.118091, 7.118549)
*   (no aparece) CABECERA;
    CABECERA DEL LLANO;(-73.106735, 7.119319)
    CAFE MADRID;(-73.140815, 7.161674)
    CAMPO HERMOSO;(-73.138814, 7.104936)
    CENTRO;(-73.125493, 7.120003)
    CHAPINERO;(-73.171805, 7.101463)
    (fuera de bucaramanga) CHIMITA; 7.141429, -73.065484
    CHORRERAS DE DON JUAN
    CIUDAD BOLIVAR
    CIUDADELA REAL DE MINAS
*   (solo existe ciudadela real de minas) REAL DE MINAS
    (aparecen jardines de) COAVICONSA
    CONUCOS
    DIAMANTEN I
    SAN LUIS
    DIAMANTE II
    ASTURIAS
    EL PORVENIR
    EL PRADO
    EL TEJAR
*   (no aparece) PORTON DEL TEJAR
    FONTANA
    GAITAN
    GALAN
    GARCIA ROVIRA
    GIRARDOT
    (creado como granadas) GRANADA
    KENNEDY
    LA AURORA
    LA CEIBA
    LA CONCORDIA
    LA FLORESTA
    LA SALLE
    LA VICTORIA
    LA UNIVERSIDAD
    LAGOS DEL CACIQUE
    LAS DELICIAS
    LAS HAMACAS
    LOS CEDROS
    LOS NARANJOS
    MEJORAS PUBLICAS
    MODELO
    MUTUALIDAD
*   (urbanización no barrio) NUEVA FONTANA
    NUEVO SOTOMAYOR
*   (hay muchas opciones no se sabe cual puede ser) PORVENIR
    PROVENZA
    PUERTA DEL SOL
*   (no se reconoce) QUINTA DANIA
    RICAURTE
    LOS PINOS
    SAN ALONSO
    SAN FRANCISCO
    SAN RAFAEL
    SOTOMAYOR
    TERRAZAS
    TOLEDO PLATA
    UNIVERSIDAD
VIVEROS DE PROVENZA

5 DE ENERO,(-73.171805, 7.101463)
CARLOS PIZARRO,(-73.171095, 7.102514)
RIO DE ORO I,(-73.159356, 7.126147)
RINCON DE LA PAZ,(-73.163629, 7.096407)
A.S.D.,(-73.141395, 7.10405)
PUENTE NARIÑO,(-73.154813, 7.143883)
RIO DE ORO,(-73.153565, 7.145416)
VILLAS DE SAN IGNACIO,(-73.143215, 7.154999)
EL PABLON,(-73.14304, 7.179591)
DON BOSCO,(-73.144971, 7.112589)
CIUDAD PERDIDA,(-73.146358, 7.117423)
NAPOLES,(-73.141682, 7.120067)
A.S.D.,(-73.139911, 7.143548)
CONJUNTO CERRADO PUNTA ESTRELLA CASAS,(-73.145701, 7.089389)
PANTANO III,(-73.144527, 7.107338)
ESTORAQUES,(-73.143035, 7.091998)
    CAFE MADRID,(-73.140815, 7.161674)
URBANIZACION QUINTA ESTRELLA V ETAPA,(-73.143411, 7.101323)
LA JOYA,(-73.139607, 7.110983)
QUINTA ESTRELLA,(-73.142334, 7.101025)
1 DE MAYO,(-73.142153, 7.102595)
PANTANO II,(-73.142348, 7.110401)
CAMPO HERMOSO,(-73.138814, 7.104936)
CIUDADELA CAFE MADRID,(-73.140082, 7.164078)
PANTANO SANTANDER,(-73.141674, 7.112841)
MARIA PAZ,(-73.138714, 7.148375)
SANTANDER,(-73.138811, 7.116562)
PANTANO I,(-73.140174, 7.111441)
MANZANARES,(-73.139123, 7.095231)
NARIVO,(-73.137292, 7.126028)
CAMILO TORRES,(-73.139024, 7.121632)
CONJUNTO RESIDENCIAL PORTALES FONTANA,(-73.125789, 7.087863)
COAVICONSA,(-73.123837, 7.08635)
LA GLORIA,(-73.137185, 7.129754)
ZARABANDA,(-73.138651, 7.121282)
TEJARCITO,(-73.138563, 7.154536)
    BALCONES DE KENNEDY,(-73.139019, 7.154951)
CUYANITA,(-73.138696, 7.122527)
    LAS HAMACAS,(-73.138078, 7.158126)
VILLAS DE GIRARDOT,(-73.137707, 7.123229)
CHARTA,(-73.138657, 7.101011)
    EL ROSAL,(-73.13705, 7.17779)
EL CINAR,(-73.137761, 7.138703)
SAN PEDRO CLAVER,(-73.11063, 7.099752)
A.S.D.,(-73.115699, 7.092188)
HAMACAS PARTE ALTA-HAMACAS LA CURVA,(-73.138453, 7.156248)
VILLA ALEGRIA,(-73.137997, 7.159936)
VILLA MERCEDES,(-73.134885, 7.144862)
VILLA ALEGRIA I,(-73.137795, 7.157234)
MILAGRO DE DIOS,(-73.138137, 7.121918)
MONTEREDONDO,(-73.136154, 7.09177)
    MIRADORES DE KENNEDY,(-73.13764, 7.155944)
    KENNEDY,(-73.134634, 7.15167)
LA ESTRELLA,(-73.136811, 7.105061)
GAITAN,(-73.134064, 7.13148)
GIRARDOT,(-73.134712, 7.122318)
    ALTOS DE KENNEDY,(-73.136883, 7.15629)
23 DE JUNIO,(-73.136481, 7.118078)
NORTE BAJO,(-73.135758, 7.142702)
OMACAI,(-73.136877, 7.157985)
BETANIA,(-73.135918, 7.151278)
BRISAS DEL MUTIS,(-73.134872, 7.094915)
TEJAR NORTE,(-73.135481, 7.14959)
SAN RAFAEL,(-73.135114, 7.139485)
PIOX II ETAPA,(-73.136076, 7.119444)
COLORADOS,(-73.131804, 7.178867)
LAS OLAS II,(-73.134005, 7.143576)
URBANIZACION PORTALES DE NAVARRA,(-73.134944, 7.109437)
BARRIO NUEVO,(-73.134892, 7.172154)
CAMINOS DE LA PAZ,(-73.135243, 7.147367)
MUTIS,(-73.130588, 7.098776)
CONJUNTO RESIDENCIAL BALCON DE LA HACIENDA,(-73.134907, 7.09513)
LUZ DE ESPERANZA,(-73.13502, 7.147232)
CHORRERAS DE DON JUAN,(-73.130128, 7.11063)
DIVINO NIÑO I,(-73.134575, 7.164436)
CAMINOS DE PAZ II,(-73.134788, 7.147058)
MONEQUE,(-73.134447, 7.145003)
ALFONSO LOPEZ,(-73.132826, 7.113964)
    OMAGA,(-73.134379, 7.149736)
LA GRAN LADERA,(-73.133143, 7.091904)
A.S.D.,(-73.127941, 7.106381)
LAS DELICIAS,(-73.133969, 7.169727)
OLAS BAJAS,(-73.133385, 7.156007)
EL PORVENIR,(-73.131723, 7.082126)
    URBANIZACION EL MINUTO DE DIOS,(-73.133242, 7.148755)
    LAS OLAS,(-73.133454, 7.143555)
DIVINO NIÑO II,(-73.134043, 7.166825)
OLAS ALTAS,(-73.133343, 7.154337)
COLSEGUROS NORTE,(-73.133441, 7.147058)
FUNDADORES III ETAPA,(-73.133143, 7.096782)
CHAPINERO,(-73.13191, 7.13805)
BOSQUE NORTE,(-73.132701, 7.143027)
PORVENIR SECTOR LA TRANSVERSAL,(-73.133029, 7.085834)
C. TORRES DE MONTERREDONDO,(-73.133135, 7.092628)
GRANADA,(-73.130069, 7.123854)
SAN VALENTIN,(-73.132593, 7.156467)
ALTOS DEL PROGRESO,(-73.132546, 7.15243)
MIRAMAR,(-73.131708, 7.147484)
VILLA MARIA,(-73.131664, 7.155361)
BUCARAMANGA,(-73.128757, 7.092297)
BALCONCITOS,(-73.132166, 7.104221)
C. FUNDADORES II ETAPA,(-73.132431, 7.097273)
TRANSICION,(-73.128617, 7.143176)
CONJUNTO MULTIFAMILIAR ARCO IRIS,(-73.132202, 7.096783)
ESPERANZA III ETAPA,(-73.128107, 7.1487)
PAISAJES NORTE,(-73.131821, 7.15163)
CLAVERIANO,(-73.13154, 7.158059)
13 DE JUNIO,(-73.131589, 7.150421)
PARQUE RESIDENCIAL MARGARITAS (CASAS),(-73.131988, 7.096178)
VILLA MARIA II,(-73.13198, 7.152561)
N.N.,(-73.131694, 7.152504)
VILLA MARIA I,(-73.131709, 7.154345)
NUEVA COLOMBIA,(-73.131485, 7.143318)
GARCIA ROVIRA,(-73.130641, 7.119062)
LA INDEPENDENCIA,(-73.125909, 7.14233)
VILLA MARIA III,(-73.131338, 7.155501)
MARIA AUXILIADORA,(-73.131479, 7.11982)
VILLA ROSA,(-73.129926, 7.15208)
ROSALTA,(-73.131363, 7.179238)
COMUNEROS,(-73.127167, 7.13866)
MODELO,(-73.129297, 7.134547)
LA JUVENTUD,(-73.128891, 7.144255)
TORRES DE LA CONTRALORIA,(-73.130405, 7.1045)
URBANIZACION LAURELES,(-73.129827, 7.103857)
LOS HEROES,(-73.129374, 7.097004)
URBANIZACION PLAZA REAL,(-73.129268, 7.103096)
URBANIZACION PALMERAS,(-73.12914, 7.102927)
URBANIZACION SAMANES,(-73.12912, 7.104636)
CADILES,(-73.127647, 7.1081)
CENTAUROS,(-73.128478, 7.101971)
VILLA HELENA II,(-73.127528, 7.154596)
N.N.,(-73.127756, 7.152751)
ALAMEDA REAL,(-73.128263, 7.101572)
CENTRO,(-73.125493, 7.120003)
A.S.D.,(-73.127445, 7.103579)
URBANIZACION ALAMEDA,(-73.128018, 7.101146)
CONJUNTO RESIDENCIAL J. PABLO II,(-73.128247, 7.104632)
URBANIZACION LOS NARANJOS,(-73.127397, 7.103022)
VILLA HELENA I,(-73.127113, 7.152849)
NUEVO HORIZONTE DE LA MANO DE DIOS,(-73.126564, 7.149915)
CONDADO DE GIBRALTAR,(-73.127094, 7.087018)
PLAZUELA REAL,(-73.127378, 7.095343)
EL PLAN,(-73.126472, 7.145525)
MUTUALIDAD,(-73.124679, 7.135274)
URBANIZACION MARSELLA REAL,(-73.125617, 7.104922)
CHICO REAL II,(-73.127039, 7.0993)
URBANIZACION SAMANES IV ETAPA,(-73.126931, 7.101973)
BLOQUES CIUDAD BOLIVAR,(-73.125697, 7.097514)
ESPERANZA II ETAPA,(-73.125671, 7.147481)
SAN MIGUEL,(-73.123891, 7.109932)
PARQUE REAL,(-73.126773, 7.098534)
SAN CRISTOBAL,(-73.125776, 7.144342)
IGSABELAR,(-73.126687, 7.083503)
CONJUNTO RESIDENCIAL LOS NARANJOS,(-73.126036, 7.101055)
LIZCANO II ETAPA,(-73.12582, 7.149371)
N.N.,(-73.125135, 7.154121)
CONJUNTO RESIDENCIAL ALTOS DE FONTANA,(-73.126444, 7.087592)
URBANIZACION SAMANES V ETAPA,(-73.125403, 7.10255)
CONQUISTADORES,(-73.125589, 7.08905)
ESPERANZA I ETAPA,(-73.125223, 7.146116)
LIZCANO I ETAPA,(-73.125672, 7.148922)
BALCONES DE GRATAMIRA,(-73.125771, 7.095494)
LOS ANGELES,(-73.124783, 7.153025)
MANUELA BELTRAN,(-73.124925, 7.083783)
URBANIZACION CHICO REAL II ETAPA,(-73.125632, 7.100275)
URBANIZACION PASEO REAL,(-73.125619, 7.10365)
SANTA MARTA,(-73.125394, 7.08541)
JARDINES DE COAVICONSA,(-73.123739, 7.0879)
MIRADOR,(-73.124703, 7.150312)
SAN GERARDO II,(-73.124536, 7.097254)
CIUDADELA REAL DE MINAS,(-73.122782, 7.104033)
URBANIZACION CALLE REAL,(-73.125297, 7.100919)
CIUDAD VENECIA,(-73.124033, 7.089054)
LA CONCORDIA,(-73.120703, 7.112674)
URBANIZACION PLAZUELA DE SANTA CLARA,(-73.125049, 7.1023)
N.N.,(-73.120034, 7.147603)
ANTONIA SANTOS SUR,(-73.110758, 7.101588)
CONDOMINIO REAL DEL LLANO,(-73.124734, 7.100752)
URBANIZACION CHICO REAL,(-73.124726, 7.100145)
SAN GERARDO II ETAPA,(-73.12405, 7.096954)
REGADERO NORTE,(-73.123579, 7.14666)
C. PORTAL DE SAN SEBASTIAN,(-73.124397, 7.102303)
MANZANA 10,(-73.124104, 7.094064)
URBANIZACION CASAS PARQUE SAN REMO II ETAPA,(-73.123787, 7.101224)
DANGOND,(-73.123426, 7.079511)
URBANIZACION PALMA REAL,(-73.122753, 7.099469)
A.S.D.,(-73.120539, 7.097459)
CIUDAD METROPOLIS,(-73.123207, 7.102974)
LA FLORESTA SAN JOSE-PARTES BAJAS,(-73.123396, 7.090048)
CORDONCILLO I,(-73.123437, 7.096014)
UIS,(-73.120035, 7.140354)
CANELOS,(-73.122702, 7.098144)
CIUDAD METROPOLIS II,(-73.122732, 7.102201)
URBANIZACION LOS BUCAROS,(-73.122711, 7.103516)
FONTANA,(-73.121413, 7.086922)
N.N.,(-73.121616, 7.144423)
CANDADO,(-73.122806, 7.082375)
ROBLES,(-73.122183, 7.082137)
VILLA SARA,(-73.122784, 7.081583)
CIUDAD DE METROPOLIS III,(-73.122397, 7.101666)
LA GUACAMAYA,(-73.122466, 7.09352)
TORRES DE CAICEDONIA,(-73.122769, 7.085984)
URBANIZACION CAMPO REAL,(-73.121981, 7.07811)
UNIVERSIDAD,(-73.119769, 7.136535)
TOLEDO PLATA,(-73.122269, 7.07993)
GOMEZ NIÑO,(-73.12097, 7.10758)
NUEVA FONTANA,(-73.122183, 7.088054)
JUAN XXIII,(-73.121356, 7.093845)
DELICIAS,(-73.121986, 7.083797)
URBANIZACION LOS ALMENDROS,(-73.121829, 7.100725)
RINCON DE LOS CABALLEROS,(-73.121333, 7.102421)
DELICIAS BAJAS,(-73.121493, 7.08069)
VILLA ALICIA,(-73.121763, 7.085561)
ANTIGUA COLOMBIA,(-73.122099, 7.097319)
LAURELES I,(-73.121476, 7.09823)
SAN GERARDO,(-73.120038, 7.101562)
ROCIO,(-73.120935, 7.084562)
VILLA FLOR,(-73.121608, 7.082207)
URBANIZACION ACROPOLIS,(-73.121342, 7.104607)
GRANJAS DE JULIO RINCON,(-73.120498, 7.079852)
BOLIVAR,(-73.118091, 7.118549)
URBANIZACION MACAREGUA,(-73.120562, 7.105534)
LA ISLITA,(-73.121143, 7.094767)
C. SAN LORENZO DE PROVENZA I,(-73.118763, 7.08345)
CORDONILLO II,(-73.119723, 7.098699)
URBANIZACION TORCOROMA V ETAPA,(-73.120251, 7.103584)
A.S.D.,(-73.115453, 7.096319)
EL PONCE,(-73.120187, 7.096659)
SAN LUIS,(-73.118742, 7.091622)
AFRICA,(-73.119505, 7.094867)
PABLO VI,(-73.119204, 7.096342)
N.N.,(-73.117979, 7.087906)
RICAURTE,(-73.116086, 7.107081)
LA VICTORIA,(-73.116644, 7.100617)
VIVEROS DE PROVENZA,(-73.11801, 7.080898)
URBANIZACION HACIENDA REAL,(-73.118447, 7.103735)
VEINTE DE JULIO,(-73.118093, 7.095412)
GABRIELA MISTRAL,(-73.112666, 7.09908)
SAN GERARDO I,(-73.118348, 7.102937)
NUEVO SOTO MAYOR,(-73.116938, 7.115648)
LA CEIBA,(-73.115005, 7.105093)
TORRES DE VERACRUZ,(-73.11767, 7.085872)
MEJORAS PUBLICAS,(-73.114638, 7.123139)
CONJUNTO RESIDENCIAL ARTEMISA,(-73.117128, 7.103744)
CONJUNTO RESIDENCIAL ARTEMISA 1,(-73.116846, 7.103271)
CUARTEL,(-73.114131, 7.138124)
URBANIZACION DIAMANTE II ETAPA,(-73.117028, 7.090985)
CONJUNTO RESIDENCIAL TORRES DE ASTURIAS,(-73.116817, 7.085051)
URBANIZACION DIAMANTE I ETAPA,(-73.116735, 7.091622)
GRANJAS DE PROVENZA,(-73.116507, 7.081621)
PUERTO RICO,(-73.114888, 7.140107)
BOLARQUI,(-73.114022, 7.111366)
SOTOMAYOR,(-73.113435, 7.116171)
GRANADA SUR,(-73.114349, 7.09691)
QUINTA DIANA,(-73.114228, 7.128307)
CONJUNTO LA VICTORIA,(-73.114294, 7.102919)
GALAN,(-73.111979, 7.129727)
MERCEDES,(-73.112138, 7.107756)
PUERTA DEL SOL,(-73.112032, 7.104678)
C. CONUCOS PLAZA,(-73.113623, 7.107177)
LA SALLE,(-73.112034, 7.101433)
ALVAREZ LAS AMERICAS,(-73.108332, 7.12737)
CONUCOS,(-73.110865, 7.105544)
QUINTA BRIGADA,(-73.1095, 7.130764)
CAMPESTRE,(-73.111471, 7.112801)
EL PRADO,(-73.110717, 7.123567)
VILLA CLAUDIA,(-73.111876, 7.091219)
CONJUNTO RESIDENCIAL NEPTUNO,(-73.111541, 7.096174)
CABECERA DEL LLANO,(-73.106735, 7.119319)
MULTIFAMILIARES DIAMANTE II ETAPA,(-73.110639, 7.093674)
LOS PINOS,(-73.109973, 7.136124)
C. TORRES DE LOS PINOS,(-73.111099, 7.137275)
APARTAMENTOS DE LA POLICIA,(-73.111109, 7.130452)
CONJUNTO RESIDENCIAL COLSEGUROS,(-73.110687, 7.094877)
SAN MARTIN,(-73.10963, 7.099274)
CONJUNTO TORRES DE ALEJANDRIA,(-73.109776, 7.09655)
VILLA DIAMANTE,(-73.110215, 7.095828)
N.N.,(-73.106026, 7.110339)
SOLDOS,(-73.1096, 7.101235)
MIRADORES DE SAN LORENZO,(-73.109058, 7.092714)
PORTO FINO,(-73.108811, 7.095557)
EL DIVISO,(-73.10446, 7.137536)
N.N.,(-73.108095, 7.092948)
VILLA DE LOS CONQUISTADORES,(-73.108549, 7.094641)
UNIDAD RESIDENCIAL CABELLANO,(-73.108569, 7.124514)
EL TEJAR,(-73.105783, 7.100815)
UNIDAD RESIDENCIAL CABECERA DE LA SIERVA,(-73.108644, 7.123732)
VEGAS DE MORRORICO,(-73.10766, 7.139085)
LOS SAUCES,(-73.10826, 7.134524)
LA CALLEJA,(-73.108103, 7.089214)
CONJUNTO CERRADO TORRES DEL TEJAR,(-73.10809, 7.09736)
DIAMANTE,(-73.107085, 7.092702)
LOS GUAYACANES,(-73.10742, 7.103957)
MORRORICO,(-73.106239, 7.133917)
PEDREGOSA,(-73.107208, 7.096206)
CONJUNTO RESIDENCIAL PORTON DE TEJAR,(-73.106555, 7.097175)
LA LIBERTAD,(-73.10718, 7.094514)
LA FLORESTA,(-73.105575, 7.106495)
VILLA INES,(-73.106138, 7.091314)
VENADO DE ORO,(-73.106755, 7.130614)
N.N.,(-73.098583, 7.108563)
CONJUNTO RESIDENCIAL LA HACIENDA,(-73.10676, 7.119597)
C. BALCON DE LAS AMERICAS,(-73.10606, 7.128681)
BALCON DE LAS AMERICAS,(-73.105721, 7.128253)
TERRAZAS,(-73.10518, 7.112109)
ALBANIA,(-73.105822, 7.131532)
JARDIN,(-73.105091, 7.1158)
UNIDAD RESIDENCIAL CANTABRIA I ETAPA,(-73.105913, 7.125986)
UNIDAD RESIDENCIAL CANTABRIA II ETAPA,(-73.105636, 7.126945)
CONJUNTO RESIDENCIAL TORRES DEL PORTON,(-73.105795, 7.097008)
N.N.,(-73.102749, 7.12474)
MIRAFLORES,(-73.104334, 7.131325)
URBANIZACION DEL TEJAR I SECTOR,(-73.104844, 7.094888)
CONJUNTO RESIDENCIAL MIRADOR DEL CACIQUE,(-73.104262, 7.097014)
BUENOS AIRES,(-73.100915, 7.131597)
ALTOS DEL JARDIN,(-73.104687, 7.118077)
URBANIZACION PORTAL DEL CACIQUE,(-73.103471, 7.099478)
URBANIZACION EL GIRASOL,(-73.10402, 7.096195)
LOS CEDROS,(-73.103371, 7.118576)
MIRADOR DEL CACIQUE,(-73.103501, 7.09853)
URBANIZACION BALCON DEL TEJAR,(-73.10372, 7.095071)
PAN DE AZUCAR,(-73.102395, 7.114811)
LAGOS DEL CACIQUE,(-73.099694, 7.10355)
CONJUNTO RESIDENCIAL ALTOS DEL TEJAR,(-73.102721, 7.096036)
CONJUNTO RESIDENCIAL CACIQUE IMPERIAL,(-73.102584, 7.101018)
CONJUNTO RESIDENCIAL HACIENDA DEL CACIQUE,(-73.10249, 7.10169)
QUINTAS DEL CACIQUE,(-73.101479, 7.102281)
PRADOS DE SANTA BARBARA,(-73.102469, 7.097475)
CONJUNTO RESIDENCIAL TESORO DEL CACIQUE,(-73.101829, 7.099976)
LIMONCITO I,(-73.100995, 7.133611)
URBANIZACION QUINTAS DEL CACIQUE,(-73.101063, 7.101392)
PALMERAS DEL CACIQUE,(-73.099659, 7.099613)
C. VILLA LAGO,(-73.100858, 7.105455)
CONDOMINIO ALTOS DE CANTARELA,(-73.099853, 7.105524)
BUENAVISTA,(-73.096032, 7.128591)
PIEDEMONTE,(-73.098774, 7.100098)
CONDOMINIO CAMPESTRE VALLADOLID,(-73.096184, 7.105292)
PARQUE DEL CACIQUE,(-73.094572, 7.102719)
CONJUNTO RESIDENCIAL SIERRA VERDE,(-73.096674, 7.098619)
CONJUNTO RESIDENCIAL CAMPESTRE EL CACIQUE,(-73.096183, 7.103543)
ALTOS DEL CACIQUE,(-73.095214, 7.099376)
CONJUNTO MONTEVERDE,(-73.096216, 7.100193)
C. CAMPESTRE EL LAGO,(-73.09545, 7.100723)
ALTOS DEL LAGO,(-73.095437, 7.102282)
URBANIZACION EL RINCON DEL LAGO,(-73.094611, 7.101578)
CONJUNTO PROVINCIA DE SOTO ETAPA II,(-73.146521, 7.082771)
CONJUNTO PROVINCIA DE SOTO ETAPA I,(-73.137036, 7.085646)
CONJUNTO RESIDENCIAL ALTOS DEL PORVENIR,(-73.130997, 7.081173)
QUEBRADA LA IGLESIA II,(-73.125747, 7.090864)
VILLA NUEVA DEL CAMPO,(-73.111465, 7.095124)
DIAMANTE II ETAPA,(-73.113694, 7.091907)
BRISAS DE SURATA,(-73.13786, 7.164957)
SAN ALONSO,(-73.11723, 7.132379)
SAN FRANCISCO,(-73.122265, 7.130211)
ANTONIA SANTOS CENTRO,(-73.119699, 7.12452)
ALARCON,(-73.121137, 7.126466)
LA AURORA,(-73.11857, 7.127414)
BALCONES DEL SUR,(-73.121477, 7.077894)
CRISTAL BAJO,(-73.121418, 7.072174)
BRISAS DEL PARAISO,(-73.125519, 7.072093)
EL CRISTAL,(-73.118287, 7.076071)
CONJUNTO CERRADO COMULTRASAN,(-73.11715, 7.078176)
VILLA DEL NOGAL,(-73.124584, 7.074346)
PUNTA PARAISO,(-73.125201, 7.075246)
BRISAS DEL PALMAR,(-73.12379, 7.077106)
VILLA REAL DEL SUR,(-73.122895, 7.075643)
BRISAS DE PROVENZA,(-73.117403, 7.079272)
LUZ DE SALVACION II,(-73.121563, 7.075514)
LUZ DE SALVACION I,(-73.120167, 7.075483)
PORTAL DELOS ANGELES ASOVIPORAN,(-73.134738, 7.17385)
A.S.D.,(-73.136864, 7.158475)
CAMPESTRE NORTE,(-73.132353, 7.174168)
A.S.D.,(-73.14123, 7.121342)
LA FERIA,(-73.140686, 7.121281)
A.S.D.,(-73.143677, 7.095107)
A.S.D.,(-73.130618, 7.072784)
A.S.D.,(-73.130279, 7.084563)
RIO DE ORO II,(-73.170593, 7.100882)
JOSE ANTONIO GALAN,(-73.171257, 7.100215)
GALLINERAL,(-73.169324, 7.097864)
PROVENZA,(-73.115215, 7.082634)
A.S.D.,(-73.120139, 7.074432)
ASTURIAS,(-73.107507, 7.089288)
CONJUNTO SANTA BARBARA,(-73.101303, 7.096847)
N.N.,(-73.096032, 7.098121)
SAN EXPEDITO,(-73.094505, 7.098306)
BOSQUES DEL CACIQUE,(-73.094984, 7.098079)
N.N.,(-73.098364, 7.099343)